id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
823960189012464438,Rental unit in Montréal · ★4.0 · 3 bedrooms · 3 beds · 1 bath,433335168,Deepak,,Le Plateau-Mont-Royal,45.539140626526596,-73.57842613132888,Entire home/apt,174,1,8,2023-08-26,1.48,3,47,8,"315848, expires: 2024-10-02"
824000077248399450,Rental unit in Montréal · ★4.80 · 1 bedroom · 1 bed · 1 bath,429777832,Yasmine,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4878743,-73.63230279999999,Entire home/apt,98,31,5,2023-04-29,0.67,1,82,5,
824168387621293116,Rental unit in Montréal · ★4.73 · 2 bedrooms · 2 beds · 1 bath,159008278,Ahona,,Ville-Marie,45.51517669980197,-73.56653252824161,Entire home/apt,197,31,41,2023-10-02,5.32,41,25,41,"319977, expires: 2024-09-01"
824514585730627992,Rental unit in Montréal · ★2.67 · 2 bedrooms · 4 beds · 1.5 baths,456465634,Mahmoud,,Outremont,45.510974081399134,-73.61518978656152,Entire home/apt,95,31,9,2023-09-04,1.16,2,84,9,"317231, expires: 2024-07-22T18:33:21Z"
824563771613339365,Rental unit in Westmount · ★4.75 · Studio · 1 bed · 1 bath,55042116,Nick,,Westmount,45.47907,-73.60017,Entire home/apt,105,31,8,2023-09-23,1.21,3,249,8,"300935, expires: 2024-01-31"
824584875002430795,Rental unit in Westmount · ★4.58 · 2 bedrooms · 2 beds · 1 bath,477823260,Posh Properties,,Westmount,45.479181434928,-73.60150594597604,Entire home/apt,128,31,12,2023-08-31,1.74,9,270,12,"300935, expires: 2024-01-31"
824609429131098427,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,34118649,Hugo,,Ville-Marie,45.50288842739593,-73.55875386283655,Entire home/apt,175,31,2,2023-07-29,0.50,1,341,2,311078
824611158678794456,Rental unit in Westmount · 2 bedrooms · 2 beds · 1 bath,55042116,Nick,,Westmount,45.478514182487224,-73.60222366345722,Entire home/apt,146,31,1,2023-08-22,0.63,3,270,1,"300935, expires: 2024-01-31"
824626262920685770,Rental unit in Montréal · ★4.86 · 1 bedroom · 1 bed · 1 bath,477823260,Posh Properties,,Ville-Marie,45.49634327055553,-73.5854574115026,Entire home/apt,112,31,7,2023-10-05,1.57,9,282,7,"314746, expires: 2024-07-31"
824674067014255853,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,55042116,Nick,,Ville-Marie,45.49619129737033,-73.58755525655215,Entire home/apt,114,31,0,,,3,282,0,"314746, expires: 2024-07-31"
824695397595906538,Home in Montréal · 4 bedrooms · 10 beds · 2 baths,3566953,Gregory,,Villeray-Saint-Michel-Parc-Extension,45.543,-73.63247,Entire home/apt,1000,31,1,2023-06-20,0.27,1,173,1,"312800, expires: 2024-05-08"
824780410362922858,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,411572023,Ma Kabane,,Ville-Marie,45.51590192404739,-73.55644771048767,Entire home/apt,186,32,0,,,4,292,0,
824822460321082747,Townhouse in Montréal · 1 bedroom · 1 bed · 1 shared bath,4280202,Adrienna,,Outremont,45.52185379581696,-73.61517592645873,Private room,59,1,0,,,1,138,0,"315275, expires: 2024-09-13"
825229958306651790,Rental unit in Westmount · ★3.67 · Studio · 1 bed · 1 bath,477823260,Posh Properties,,Westmount,45.47747865793554,-73.60051269550318,Entire home/apt,95,31,3,2023-06-12,0.48,9,249,3,"300935, expires: 2024-01-31"
